model,model_family,strategy,calibration_method,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.2583668005354752,0.4146079484425349,0.3183505154639175,0.12,37971,4432,2180,1544
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.2722986988497077,0.3877551020408163,0.31992910158413645,0.13,38544,3859,2280,1444
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.28763950305327435,0.3668098818474758,0.3224359730909949,0.14,39020,3383,2358,1366
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.29983679179295875,0.34532760472610097,0.3209784100836141,0.15,39400,3003,2438,1286
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3087179487179487,0.3233082706766917,0.31584470094438616,0.16,39707,2696,2520,1204
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3154041115178823,0.3007518796992481,0.30790378006872854,0.17,39972,2431,2604,1120
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.32424984690753217,0.2843716433941998,0.30300429184549355,0.18,40196,2207,2665,1059
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3362183754993342,0.2712137486573577,0.30023781212841855,0.19,40409,1994,2714,1010
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3405771286070538,0.25671321160042965,0.29275761751645996,0.2,40552,1851,2768,956
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3447085889570552,0.24140708915145007,0.28395451674036637,0.21,40694,1709,2825,899
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3483285183656624,0.22663802363050484,0.2746054986172117,0.22,40824,1579,2880,844
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.3558498896247241,0.21643394199785176,0.2691601268993154,0.23,40944,1459,2918,806
